,name,album,artist,release_date,length,popularity,danceability,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature
37,Lights Off (feat. Gunna & Lil Durk),Lights Off (feat. Gunna & Lil Durk),Tay Keith,2022-04-22,215510,66,0.776,0.123,0.776,0.671,0.0,0.0913,-5.791,0.255,147.06,5
38,Ye Not Crazy,Ye Not Crazy,Joyner Lucas,2022-04-01,226758,70,0.862,0.144,0.862,0.547,0.0,0.0691,-9.557,0.333,145.191,4
39,Rumors (feat. Lil Durk),Rumors (feat. Lil Durk),Gucci Mane,2022-01-25,185855,76,0.688,0.0499,0.688,0.842,0.0,0.241,-4.211,0.264,159.897,4
40,We Set The Trends (feat. Migos & ‎Juelz Santana) - Remix,We Set The Trends (Remix) [feat. ‎Migos & Juelz Santana],Jim Jones,2022-04-08,217815,67,0.801,0.0771,0.801,0.794,0.0,0.204,-4.674,0.315,119.044,4
41,WIG (with Moneybagg Yo),WIG (with Moneybagg Yo),DaBaby,2022-05-11,177986,68,0.775,0.0167,0.775,0.5,0.0,0.111,-7.654,0.345,148.926,4
42,Plan B,Plan B,Megan Thee Stallion,2022-04-22,163764,76,0.787,0.0668,0.787,0.522,0.0,0.108,-5.872,0.463,170.439,4
43,LONDON (feat. J. Cole),LONDON (feat. J. Cole),BIA,2022-04-08,250722,75,0.644,0.0225,0.644,0.671,0.0,0.0855,-5.156,0.315,132.001,4
44,Wheelie (feat. 21 Savage),Wheelie (feat. 21 Savage),Latto,2022-03-11,170270,69,0.911,0.0313,0.911,0.667,0.0,0.0854,-6.606,0.277,147.976,4
45,Blick Blick (with Nicki Minaj),Blick Blick,Coi Leray,2022-03-18,178413,72,0.916,0.222,0.916,0.824,0.00108,0.0661,-4.444,0.422,139.926,4
46,[Admire Her] (with Gunna),[BUMP] Pick Me Up,Bas,2022-04-15,157777,65,0.883,0.366,0.883,0.507,0.0,0.136,-7.188,0.244,138.008,4
47,"Shake It (feat. Cardi B, Dougie B & Bory300)","Shake It (feat. Cardi B, Dougie B & Bory300)",Kay Flock,2022-04-15,118249,76,0.87,0.0353,0.87,0.835,0.0,0.142,-5.875,0.311,140.051,4
48,We Go Up (feat. Fivio Foreign),We Go Up,Nicki Minaj,2022-03-25,255188,71,0.707,0.413,0.707,0.909,0.0,0.305,-3.501,0.261,145.014,4
49,Sheikh Talk,Sheikh Talk,Tyga,2022-05-06,160256,67,0.834,0.11,0.834,0.574,0.0,0.131,-6.207,0.0716,96.999,4
